#SEQUENCES											       #Rg Values

1222222122221222111222122211222222122222121222222221222222121222222222222122212222222222212221222212   5.8318
2121122212222222122222222211212222122221222122122221222112222222121222122212222222221222222222222222   5.77819
2222222212222221122221222222222212222221222221222222211212212222212222222221221222212211122222221212   5.88708
2222212221222222121222221222222212222112222222212112222222222222222221222121222121122221222112222222   6.09764
2222221122112212112222222222222222222222122222222222122112222222212212222212122122222221212121222222   5.87869
2222212211222222222221221222122211211212122222222222222222222122222211222221222122122222222222221221   5.90691
2212122221122122222221221222222122222212221222221222221222121121222212222222222222222111222222222222   5.88732
2222211212212222121222122222222122222212222222121111222222221222222222222221212122222222222121222222   5.91675
2112222222222222122222221121212221222222222222222222222222121222222112112122212222222221212222221221   5.93967
2211122222221222122221222211221212122222122212222122222222222221212221222221222222221222222222212222   5.92504
2121122222222222222222112212221222222212221212222222222222221222222222121112222221222212222112222212   5.92153
2121122222222221112221222121222222221222212222222222221112221222221222222222222212212222221221222222   6.06677
1222221222122222222122122122212222222222222221211222222122222212222222222212212222212222122121221122   5.84431
2212212222221222222222212222121222222222222112222222212122212222222222222222211212221212122121222212   5.88123
2212221122222212221212222222222222122212221222221112221222222122222222222211222222222221222222122112   6.16871
2112222212122222221222221221222222222222222212212222112222222222221212222212222221221222211222212122   5.79392
2121212121222222221222212222212222212222222212222222222212222222222122222122212222221222122121222121   5.88427
2222221221222221122222221211222222222222222222122222212122122121222112212112222122222222222222122222   5.82654
1221212221222222212222212112222222122112222222222212222221222222222222222221122221212222212221222212   5.85862
2112221212221222222222221122222222222222212122221222122222222222221212221222222212221212122222222121   6.12901
1222222222212222221212222222212122222221121122222222222222222222222211212112221222212222121222212222   5.85979
2212221222222111221122222112222221222211221222222222122212222212212222222222212222222222222221212222   6.01074
2122112222221222222112221222221222222222221221222222222122221122222121222222221222212212212222222221   6.09288
2222221221122222122222222122112122221122222222222221122222122222212122222222112222222122222221222122   5.96212
2212111122212222122122222221222222122222222112221212221122122221222222222222122222222222222222222221   5.93821
2222221222222122222212222212122222122212222221211222222121212222221222122222222221222222212211221222   5.94155
2122222221212112222222122212222122212122212222211222222222222122122222222122221222221222222221212222   6.02742
2222221212121222222221221221222222212222222222221222222222221212222122222122212122221222221122221212   5.97865
1222222222211222121222212222212222222222222222221222212122222212222222222212212221222221121221212122   6.12293
2212222212221222122122222222222122211212122222222221222221222121122222211221212222221222222222222222   5.85518
2112212222212222222122212212212221221222221222112222222222221122222222222212122222222122221222222221   5.90486
2122222212222212221122222122222212222112122222222122212122222221222221222122212211222222222222212222   6.02312
2122122222222222222222222212222222222222112212222221212222121121222221122222211222122222222222122211   5.80133
2222222212212222222222122122222222222222212121221221222212222222211222122122211222222221222222122121   5.88902
2222212121222222222222222222212112122222122222122222222222222222122121222222222222112222112121222121   6.10134
2222222212222222222212122222222212222221212122122222212221222222212212111222222222122112221222222221   5.84776
2122221212222222222122222221222222222222222111122222221221122222222222221221222222222212122122121221   5.95959
2222222222222221222212221222221222112222121222122222222122212222212211222212112222212222112222222222   5.71017
1221212222112122212222222221222222222222222122222211222222222121222111222121222222221222222122222222   5.88478
1222222222122222222222222122212111122222221212122122221221221222222222222222122222222222122222112122   5.76323
2222222222222222122222122121212222122222122222211222222221222222222122212222122222212212111112222222   5.95717
2222221221212222121222122221112222222112222222222222221222122222122222212222212222212222222121221222   5.96729
2212222222222222222221222222222221222112222222222212222121212222122221222111221222222212222211221212   5.88549
2212222212222221222122222212222222122212122122122222222221222112212222222222212212222221212221122222   5.92755
2221222221212222222222212222222222122122221222222211222122212122212222221222221222121222222212122212   5.8542
2222221222222112222222212122222222221212222222222211221221221222212222222221122122122222221211222222   5.82834
2222222122222122211222222121222122222222222211112212221122222212222222222222122221221112222222222222   5.72501
1212221121222222221222222122222221122222121222222222221211222222122222222222222222211122221122222222   5.72246
2212221122222212221212222222222222122212221222221112221222222122222222222211222222222221222222122112   6.16871
2112221212221222222222221122222222222222212122221222122222222222221212221222222212221212122222222121   6.12901
