#SEQUENCES                                                                                             #Rg Values

1111111121121111211112111122111121111112111111211111122121111111121211211122111111111221111111111211   2.5722
1111112111111111112112111121211112211111122111111111111121211111121211121121112111121111121121111211   2.60332
1111112211111111211111111121111111211221111111112122111121111111121112112112111211111111211121212111   2.58758
2111111111112111111111111111112221111221111221111111111111212212112111211121211111211111112121111111   2.61056
2111111211211111122111112211111112112112121111111121121111121111112211211111111112111112111111121111   2.60616
1222211111111111111111112221112111111112111112111211111121111111212111121121221111211111111111111121   2.64948
1121111121111122121111111111111212111121112211212121212211111111112111111211121111111121111111111111   2.62969
1121112111111111111111111111111212111111221111112111111122111221111211112121111112112221111111211211   2.61649
2111111111111211211111121111111111111121112121211111111211211121122111121121121211211212111111111111   2.60682
2111111111111111111211111111111111212121121211111212112112112121112111111211111112112121111111121211   2.6025
1221111212112222111112211111111111111111211111111112211112121112111111122211112111111111111111111111   2.60902
1111111121111222111121111111211111121112111211111112111122112211112111112112111111211112112111111111   2.6148
1122211111111111211111111111111211212121112211112111111121212111111211111211112111111121112111111121   2.62687
1221111221112111121211121121111121111111212221111112111111111111111111112211111111111112111112121111   2.63423
2121111111112111121111111111111111122111111111211111111121112111112111121112111122121112212111121211   2.61967
2112121211111111211111111111111211112211112111121121112211112111112111111211111111212112111211111111   2.61506
1121211111111211221111221211111121111112111111111221211111111111112221211111211111112111111111111121   2.60654
1211211111111111211111111111111212111111211111121111112212112111212121121111121111111121112111211121   2.62273
1112121211221111211111111122111111111212111211111211211111112111211111111111211211111111121111122111   2.63631
1111111111111111121122111112211122112111111111122112111211111211211112111122111111211111211111121111   2.59841
2111112121211111111111111111112111111111211111211221112211211211111111111221111211121121121111111112   2.60477
1111111111111211111211212111111111112211111121112111212111111111122111111111111222111122111121111212   2.60785
1111111111111211111111112111111211211121112111221111212111121222111111112111111121111112111211112121   2.60677
1111111111111121112111111111212221121111221212121121111111121121211112111111111111121111121111111211   2.62659
2111212111111221111111211111111111211111111111211221111221111112111111211111211212122121111111111111   2.61095
1112121111111111111111111111111211111211111222111111111111212122121121122111112122111111121112111111   2.61586
1211122211121111111121111221112111112111111111111111111221111121122111111212111111112111211111121111   2.62214
1111111111111111211111211211112111112111211211111122121111111121111112211112211121121111111212211111   2.59648
1111122212112122121112111111111111121111111121111121211111111211111121121111111111121112111121111121   2.63867
1111211112211111121221111221111222112111211211111111112212111111111111121211211111111111111111111111   2.60837
1211212112112112111122111111211111212111111212111121111211111121111111111111111111121111211121211111   2.64626
1121121111111111112112112111111121111111111111211121111111121121111112111111122111112211111122121221   2.63455
1111121111111212121122111111111211112111212112111111211112111121211121121111211111111112112111111111   2.59553
1221112212111211112111112211121121221111111121111111211111111112111111111211111111112221111111111111   2.64293
1111112111212111211111111221111111112112111211121111111211111111112212111111211111111112111212111212   2.62071
1121111111121111122111211111112111111211211121111111111112111111121211211111121212111212211211111111   2.6155
1111111211111111111121111211211111111112211112211111121111111121121212121111111211122121121111112111   2.63253
1111211111111121121111111121112121111112112111212111111112111111112212111211121211111211211111112111   2.60265
1111112111111222121112122212112112111112111111112121121112111111111111111112111111111211111111112111   2.62465
2111211111111112111111111112111211121211112111111211221121111121111212112112111211111111211211111111   2.64895
1111111211121111111111121111211111211111112121111112212111121111211211121211112211111111111121211211   2.59929
1211111211122121112111211111121111121111112111112111211112111121211112111112111111112111111111221111   2.61613
1121211111111111121111112111111121112211111111111121221211112111111121211112121111111111222111211111   2.59288
1111111111112211212111211111111111211112212111221111111122221111111111111111111112111211121112112111   2.62928
1112112111211111111112221112221111111111121111111122111111211121121111111111111111211221211111111112   2.60481
1111211111111112211121111112111121211111111111121111111112222112121211111122121111111112111111121111   2.60367
1112112111121122211211112111111111211111111212121121111121211111111112111111111111111111211122121111   2.64334
1222111111111211111211111111111211111112112112121111111221112111212111111221111112111111111111122111   2.63911
1222211111111111111111112221112111111112111112111211111121111111212111121121221111211111111111111121   2.64948
2111211111111112111111111112111211121211112111111211221121111121111212112112111211111111211211111111   2.64895
1211212112112112111122111111211111212111111212111121111211111121111111111111111111121111211121211111   2.64626
1112112111121122211211112111111111211111111212121121111121211111111112111111111111111111211122121111   2.64334
1221112212111211112111112211121121221111111121111111211111111112111111111211111111112221111111111111   2.64293
1222111111111211111211111111111211111112112112121111111221112111212111111221111112111111111111122111   2.63911
1111122212112122121112111111111111121111111121111121211111111211111121121111111111121112111121111121   2.63867
1112121211221111211111111122111111111212111211111211211111112111211111111111211211111111121111122111   2.63631
1121121111111111112112112111111121111111111111211121111111121121111112111111122111112211111122121221   2.63455
1221111221112111121211121121111121111111212221111112111111111111111111112211111111111112111112121111   2.63423
1111111211111111111121111211211111111112211112211111121111111121121212121111111211122121121111112111   2.63253
1121111121111122121111111111111212111121112211212121212211111111112111111211121111111121111111111111   2.62969
1111111111112211212111211111111111211112212111221111111122221111111111111111111112111211121112112111   2.62928
1122211111111111211111111111111211212121112211112111111121212111111211111211112111111121112111111121   2.62687
1111111111111121112111111111212221121111221212121121111111121121211112111111111111121111121111111211   2.62659
1111112111111222121112122212112112111112111111112121121112111111111111111112111111111211111111112111   2.62465
1111111111221111211111111122111111111212111212111211111121111111212111121121221111211111112111111121   2.60576
1111111111112111121211121121111121111111212222121121111111121121211112111111111111121111121111111211   2.61877
2211211111111112111111111112111211121211112112112111111121212111111211111211112111111121112111111121   2.6186
1111111212112122121112111111111111121111111122121121111111121121211112111111111111121111121112111211   2.62056
1111111111111121112111111111212121121111221211221111111122221111111111111111111112111211121112112111   2.61498
1111111111111111111111112221112111111112111111211122111111121121111112111111122111112211111122121221   2.63586
1111111111111112121112111111111111121111111122211111121111211121121212121111111211122121121111112111   2.59543
2222222111111111112112112111111111111111111112121121111111121121211112111111111111121111121111111211   2.68393
1111111111111111121211121121111121111112212222121121111111121121211112111111111111121111121111111211   2.62564
1111111111111122121112122212112112111112111111111211211111112111211111111111211211111111121111122111   2.61611
1111111111111112121112111111111212111121112211111211221121111121111212112112111211111111211211111111   2.60107
2222221111111111111111112221112111111112111112121121111121211111111111111111111111111111211122121111   2.6715
1111111111111111111111211111111111211112212111211121111111121122111112111111122111112211111122121221   2.64653
1111111111111111112111111111212221121111221211112111111221212111111211111211112111111121112111111121   2.61041
1111111111111111111111111211121121221111111121211121111111121121111112111111122111112211111122121221   2.65211
1111111111111122121111112111111212111121112211221111111122221111111111111111111112111211121112112111   2.59755
2211212112112112111122111111211111212111111211111111211111111112111111111211111111112221111111111121   2.65577
1111111212111211112111112211121121221111111121112111111121212111111211111211111111111121112111111121   2.62704
2211111111112211212111211111111111211112112112121121111121211111111112111111111111111111211122121111   2.61716
1111111111121111211111111122121111111212111212121111111221112111212111111221111112111111111111122111   2.61131
2222122212112122111112111111111111121111111121111112111111111111111111112211111111111112111112121111   2.77324
1111111111111111121112122212112112111122111112121121111121211111111112111111111111111111211122121111   2.6199
2221111111111121112111111111212221121111221211111112111111111111111111112211111111121112111112121111   2.62213
1111111111121111211111111122211111111212111212121111111221112111212111111221111112111111111111122111   2.59293
1111111111111122121112122222112112111112111112111121111211111121111111111111111111121111211121211111   2.62248
2222122112112122121112111111111111121111111121111112111111111111111111112211111111111112111112121111   2.74955
2222221211111111111121111211211211111112211111112121121112111111111111111112111111111211111111112111   2.70838
1111111111221111211111111122111111111212111211221111111122222111111111111111111112111211121112112111   2.60963
2211112111111122121112122212112112111112111111111112111111111111111111112211111111111112111112121111   2.63546
2111111111112211212111111111111111211112212112111211111121111111212111121121221111211111111111111121   2.61808
1111111111111111111111111122211111111212111212211111121111111121121212121111111211122121121111112111   2.60649
2221111112112211212111211111111111211112212111112121121112111111111111111112111111111211111111112111   2.6218
2222122212112122111112111111111111121111111121111112111111111111111111112211111111111112111112121111   2.77324
